,EC Filename,Wrapper Name,Kmer Size,Read - TP,Read - TN,Read - FN,Read - FN WRONG,Read - FP,Read - FP INDEL,Total Trimmed Reads,Total Reads,Base - TP,Base - TN,Base - FN,Base - FN WRONG,Base - FP,Base - FP INDEL,Base - FP TRIM,Base - TP TRIM,Total Bases,Tool,Coverage,Length,Base Sensitivity,Base Precision,Base Gain,Base Accuracy,Dataset,Trim Percent,Trim Effeciency
864,reckoner_SRR1543968_raw_16.corrected.fastq.gz,run.reckoner.sh,16,1072,41322,4108,6,74,118,26,46700,2693,11097598,6980,137,5712,2814,172,3,11116109,Reckoner,NA,100,0.2784038044040112,0.24003921918174526,-0.6030187118784245,0.9985772895652488,RSR,1.574291867774956e-05,0.01744186046511628
865,reckoner_SRR1543968_raw_20.corrected.fastq.gz,run.reckoner.sh,20,1200,41322,4034,6,38,100,30,46700,2829,11098918,6872,108,4564,2429,212,4,11115936,Reckoner,NA,100,0.2916194206782806,0.2880268784361637,-0.42923409957736314,0.9987239036726745,RSR,1.94315620385004e-05,0.018867924528301886
866,reckoner_SRR1543969_raw_14.corrected.fastq.gz,run.reckoner.sh,14,1123,40223,4974,9,157,214,58,46700,3519,11088015,9455,334,10283,5593,477,12,11117688,Reckoner,NA,100,0.2712347772468013,0.1814385150812065,-0.9524433482349314,0.9976486092956838,RSR,4.3983965011430434e-05,0.025157232704402517
867,reckoner_SRR1543969_raw_26.corrected.fastq.gz,run.reckoner.sh,26,1464,40226,4841,3,38,128,40,46700,3853,11094845,9325,128,5094,2418,313,14,11115990,Reckoner,NA,100,0.29238124146304445,0.3390233172019358,-0.2776597359235089,0.9984456605519839,RSR,2.941708295887276e-05,0.04472843450479233
868,reckoner_SRR1543968_raw_21.corrected.fastq.gz,run.reckoner.sh,21,1229,41322,4010,4,38,97,31,46700,2871,11099332,6867,73,4230,2230,238,2,11115843,Reckoner,NA,100,0.2948243992606285,0.30768406387311115,-0.36855617169850075,0.9987731022780912,RSR,2.159080512382192e-05,0.008403361344537815
869,reckoner_SRR1543969_raw_16.corrected.fastq.gz,run.reckoner.sh,16,1207,40226,4984,10,108,165,49,46700,3677,11092003,9404,232,7327,3725,243,7,11116618,Reckoner,NA,100,0.28109471752924087,0.24964356032317198,-0.5637948169100222,0.9981171419958834,RSR,2.2488854074143774e-05,0.02880658436213992
870,reckoner_SRR1543969_raw_23.corrected.fastq.gz,run.reckoner.sh,23,1405,40226,4891,11,46,121,46,46700,3774,11095234,9382,148,4652,2526,318,16,11116050,Reckoner,NA,100,0.28686530860443904,0.34459459459459457,-0.25874125874125875,0.998468338617892,RSR,3.0046644266623486e-05,0.050314465408805034
871,reckoner_SRR1543969_raw_21.corrected.fastq.gz,run.reckoner.sh,21,1350,40226,4927,6,53,138,49,46700,3804,11093837,9348,148,5901,2796,342,20,11116196,Reckoner,NA,100,0.2892335766423358,0.3042956563474922,-0.3720346715328467,0.9983326100630289,RSR,3.2565096909050545e-05,0.05847953216374269
872,reckoner_SRR1543968_raw_19.corrected.fastq.gz,run.reckoner.sh,19,1163,41322,4066,5,47,97,28,46700,2766,11098853,6948,99,4705,2240,240,0,11115851,Reckoner,NA,100,0.28474366893143915,0.2848316342292246,-0.4302038295243978,0.9987196661776053,RSR,2.1590789585070905e-05,0.0
873,reckoner_SRR1543968_raw_23.corrected.fastq.gz,run.reckoner.sh,23,1278,41322,3989,5,36,70,23,46700,2908,11100869,6851,54,3041,1644,126,0,11115493,Reckoner,NA,100,0.2979813505482119,0.38298432767022256,-0.18208832872220515,0.9989459756755729,RSR,1.1335529607188813e-05,0.0
